source,target
251,405
97,310
29,441
250,260
141,273
159,178
46,121
31,221
324,474
164,256
76,372
176,496
189,429
344,452
216,303
438,496
155,293
201,260
254,415
212,418
104,327
412,443
189,285
80,378
376,377
294,487
161,223
342,384
213,270
10,319
24,74
161,488
162,453
69,225
248,456
194,256
246,303
247,268
79,275
17,71
269,286
315,402
208,276
174,283
151,379
344,465
70,162
149,455
89,175
223,404
230,300
113,389
161,200
92,366
287,425
145,341
70,198
75,133
14,37
173,439
293,355
239,384
84,367
89,296
248,469
80,476
215,292
373,469
278,497
131,298
190,384
82,293
50,81
73,473
154,318
201,250
12,463
85,447
161,177
44,266
272,310
3,414
23,243
109,432
42,342
464,480
47,191
78,444
205,485
253,296
98,422
380,486
364,392
77,448
43,306
84,344
29,179
255,342
181,276
131,455
197,400
57,97
80,489
88,350
148,364
40,273
201,227
105,439
165,304
112,298
266,356
58,327
291,300
317,438
84,236
278,330
229,325
149,216
39,313
57,218
77,196
84,92
54,329
208,387
15,221
263,323
5,436
320,448
21,417
409,413
296,356
176,211
68,83
260,433
388,439
46,101
56,374
185,259
143,262
314,489
275,418
7,109
32,431
153,163
252,434
39,61
76,208
68,204
19,348
45,486
173,406
66,280
46,487
141,230
167,368
224,344
136,380
157,174
338,451
3,381
177,268
50,313
35,413
189,242
1,420
181,387
78,411
125,343
20,61
144,356
191,288
151,215
351,426
22,250
50,169
209,342
60,362
67,258
205,308
278,441
130,314
3,93
308,320
110,484
78,123
83,467
118,159
75,463
157,416
208,498
227,331
32,421
406,482
30,82
22,227
463,464
158,353
104,382
236,452
28,423
89,253
105,118
289,427
403,449
395,445
218,403
86,104
234,384
200,391
191,422
23,429
258,332
34,444
122,291
414,436
56,462
23,285
166,370
312,424
466,482
171,305
262,423
188,394
228,430
40,230
293,410
346,422
130,389
96,167
86,382
247,336
218,272
304,461
128,464
34,457
294,496
328,409
33,83
49,436
303,352
3,60
87,319
93,362
6,214
50,437
111,267
126,130
192,341
63,227
373,416
397,481
416,494
168,392
329,346
294,388
33,204
158,235
338,431
79,91
284,460
2,216
155,315
58,382
152,160
337,471
451,493
395,412
267,492
107,274
147,310
167,325
79,212
36,250
88,297
94,191
228,420
30,435
2,193
262,269
8,273
232,426
151,172
57,165
351,383
451,470
470,483
473,488
265,459
259,385
36,227
162,452
188,361
15,24
306,496
280,444
71,450
38,273
196,481
43,351
9,246
89,318
123,231
150,334
229,478
318,327
21,220
157,373
348,349
118,381
338,421
197,445
406,439
82,315
110,297
262,282
162,344
315,437
128,202
302,467
359,480
240,263
321,337
157,494
123,352
135,326
249,348
294,499
148,265
253,318
85,325
85,96
397,448
162,465
54,374
194,497
19,416
95,146
5,481
276,307
239,419
104,460
233,345
366,380
229,491
61,498
107,385
267,374
421,432
328,353
427,475
23,242
248,360
329,434
80,367
152,392
158,323
213,259
352,417
259,375
358,497
30,137
69,394
350,493
79,408
122,369
435,451
476,489
174,416
245,476
44,157
98,277
303,417
457,475
117,147
1,115
307,387
321,471
259,496
111,332
51,201
310,312
74,450
20,479
66,446
412,445
215,425
135,316
290,339
103,104
154,186
70,452
98,434
280,411
56,288
196,448
156,375
117,304
75,387
363,445
295,390
194,258
128,133
185,438
197,412
35,350
407,487
46,365
219,436
373,494
137,483
185,294
156,496
76,387
379,425
294,466
312,371
89,442
71,165
264,443
68,239
115,171
114,355
5,219
92,224
106,122
58,460
91,408
131,444
166,173
203,320
284,394
449,461
281,468
108,168
8,230
88,110
18,274
119,326
490,498
89,154
248,327
302,447
15,125
147,424
100,349
5,340
13,201
218,304
264,420
270,351
19,360
414,481
482,499
38,230
123,417
397,428
24,66
43,79
355,431
187,438
305,430
244,334
0,468
